team_no	attempt_no	turn_no	utterance_no	start	end	subject	verb	object	instructions	pending_instructions	matching
8	1	11	189	536.430	539.548	A	says	what ?	[]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5)), INSTRUCT_B(ADD(7, None))]	[]
8	1	11	190	537.201	539.512	B	says	the one starting with an n .	[]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5)), INSTRUCT_B(ADD(7, None))]	[]
8	1	11	191	540.046	543.566	A	says	yes but i can't because there is no start , there .	[]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5)), INSTRUCT_B(ADD(7, None))]	[]
8	1	11	192	544.295	545.635	B	says	yeah , can't you make it ?	[]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5)), INSTRUCT_B(ADD(7, None))]	[]
8	1	11	193	545.777	547.851	A	says	no , because there is no start .	[]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5)), INSTRUCT_B(ADD(7, None))]	[]
8	1	11	194	549.287	551.420	A	says	so it have to be from here or here .	[]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5)), INSTRUCT_B(ADD(7, None))]	[]
8	1	11	195	552.227	553.104	B	says	um	[]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5)), INSTRUCT_B(ADD(7, None))]	[]
8	1	11	196	552.511	556.648	A	says	what about mount davos to mount , saint gallen ?	[ADD(9, 8)]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5)), INSTRUCT_B(ADD(7, None)), INSTRUCT_A(ADD(9, 8))]	[INSTRUCT_A(ADD(9, 8))]
8	1	11	197	558.644	562.616	B	says	because what if , you did if we could do it ?	[]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5)), INSTRUCT_B(ADD(7, None)), INSTRUCT_A(ADD(9, 8))]	[]
8	1	11	198	562.497	566.065	A	says	what about mount um davos to mount gallen ?	[ADD(9, 8)]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5)), INSTRUCT_B(ADD(7, None)), INSTRUCT_A(ADD(9, 8)), INSTRUCT_A(ADD(9, 8))]	[INSTRUCT_A(ADD(9, 8))]
8	1	11	199	566.207	566.645	B	says	mount	[]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5)), INSTRUCT_B(ADD(7, None)), INSTRUCT_A(ADD(9, 8)), INSTRUCT_A(ADD(9, 8))]	[]
8	1	11	200	568.210	569.822	B	says	oh mount davos	[ADD(9, None)]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5)), INSTRUCT_B(ADD(7, None)), INSTRUCT_A(ADD(9, 8)), INSTRUCT_A(ADD(9, 8)), INSTRUCT_B(ADD(9, None))]	[INSTRUCT_B(ADD(9, None))]
8	1	11	201	570.095	571.849	A	says	yeah to mount gallen .	[ADD(8, None)]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5)), INSTRUCT_B(ADD(7, None)), INSTRUCT_A(ADD(9, 8)), INSTRUCT_A(ADD(9, 8)), INSTRUCT_B(ADD(9, None)), INSTRUCT_A(ADD(8, None))]	[INSTRUCT_A(ADD(8, None))]
8	1	11	202	570.356	571.885	B	says	to mount gallen yeah do that .	[ADD(8, None)]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5)), INSTRUCT_B(ADD(7, None)), INSTRUCT_A(ADD(9, 8)), INSTRUCT_A(ADD(9, 8)), INSTRUCT_B(ADD(9, None)), INSTRUCT_A(ADD(8, None)), INSTRUCT_B(ADD(8, None))]	[INSTRUCT_B(ADD(8, None))]
8	1	11	-1	573.016	573.016	A	adds	Gallen-Davos (8-9)	[]	[INSTRUCT_B(REMOVE(3, None)), INSTRUCT_B(ADD(3, 2)), INSTRUCT_A(ADD(3, 5))]	[DO_A(ADD(8, 9)), MATCH_A(INSTRUCT_B(ADD(8, None)))]
8	1	12	203	574.269	575.335	B	says	okay my turn .	[]	[]	[]
8	1	12	204	576.331	581.147	B	says	oh i'm erasing mount , davos to mount zurich , because it is too much .	[ADD(9, 2)]	[INSTRUCT_B(ADD(9, 2))]	[INSTRUCT_B(ADD(9, 2))]
8	1	12	-1	578.855	578.855	R	shows	thinking gesture	[]	[INSTRUCT_B(ADD(9, 2))]	[]
8	1	12	-1	578.880	578.880	R	says	hmm, i see.	[]	[INSTRUCT_B(ADD(9, 2))]	[]
8	1	12	205	580.412	582.324	R	says	i see .	[]	[INSTRUCT_B(ADD(9, 2))]	[]
8	1	12	206	582.403	584.786	A	says	no because then it is not gonna be together .	[]	[INSTRUCT_B(ADD(9, 2))]	[]
8	1	12	207	585.106	586.514	B	says	yeah , because then i just do	[]	[INSTRUCT_B(ADD(9, 2))]	[]
8	1	12	208	586.665	588.224	B	says	mount zurich to mount .	[ADD(2, None)]	[INSTRUCT_B(ADD(9, 2)), INSTRUCT_B(ADD(2, None))]	[INSTRUCT_B(ADD(2, None))]
8	1	12	209	586.671	588.295	A	says	oh yeah .	[]	[INSTRUCT_B(ADD(9, 2)), INSTRUCT_B(ADD(2, None))]	[]
8	1	12	210	588.786	589.284	B	says	uh	[]	[INSTRUCT_B(ADD(9, 2)), INSTRUCT_B(ADD(2, None))]	[]
8	1	12	211	589.378	591.382	B	says	s t gallen yeah see .	[ADD(8, None)]	[INSTRUCT_B(ADD(9, 2)), INSTRUCT_B(ADD(2, None)), INSTRUCT_B(ADD(8, None))]	[INSTRUCT_B(ADD(8, None))]
8	1	12	212	589.390	590.315	A	says	gallen .	[ADD(8, None)]	[INSTRUCT_B(ADD(9, 2)), INSTRUCT_B(ADD(2, None)), INSTRUCT_B(ADD(8, None)), INSTRUCT_A(ADD(8, None))]	[INSTRUCT_A(ADD(8, None))]
8	1	12	213	592.034	592.625	B	says	okay .	[]	[INSTRUCT_B(ADD(9, 2)), INSTRUCT_B(ADD(2, None)), INSTRUCT_B(ADD(8, None)), INSTRUCT_A(ADD(8, None))]	[]
8	1	12	214	592.958	595.839	B	says	how can we oh yeah we can erase that i remember .	[]	[INSTRUCT_B(ADD(9, 2)), INSTRUCT_B(ADD(2, None)), INSTRUCT_B(ADD(8, None)), INSTRUCT_A(ADD(8, None))]	[]
8	1	12	215	596.135	597.096	B	says	isn't this great .	[]	[INSTRUCT_B(ADD(9, 2)), INSTRUCT_B(ADD(2, None)), INSTRUCT_B(ADD(8, None)), INSTRUCT_A(ADD(8, None))]	[]
8	1	12	-1	596.245	596.245	B	removes	Gallen-Davos (8-9)	[]	[INSTRUCT_B(ADD(9, 2))]	[DO_B(REMOVE(8, 9)), MISMATCH_B(INSTRUCT_A(ADD(8, None)))]
8	1	12	216	597.152	599.013	B	says	okay so i'm erasing what we did .	[]	[INSTRUCT_B(ADD(9, 2))]	[]
8	1	12	217	599.594	600.519	B	says	okay i can't .	[]	[INSTRUCT_B(ADD(9, 2))]	[]
8	1	12	218	600.353	602.842	A	says	you erase the saint gallen to mount davos .	[REMOVE(8, 9)]	[INSTRUCT_B(ADD(9, 2)), INSTRUCT_A(REMOVE(8, 9))]	[INSTRUCT_A(REMOVE(8, 9))]
8	1	12	219	604.518	605.704	A	says	just redo it .	[]	[INSTRUCT_B(ADD(9, 2)), INSTRUCT_A(REMOVE(8, 9))]	[]
8	1	12	220	604.613	605.716	B	says	where can i	[]	[INSTRUCT_B(ADD(9, 2)), INSTRUCT_A(REMOVE(8, 9))]	[]
8	1	12	221	607.280	609.248	B	says	wait i can't erase anywhere now .	[]	[INSTRUCT_B(ADD(9, 2)), INSTRUCT_A(REMOVE(8, 9))]	[]
8	1	12	222	609.450	614.795	I	says	so you can not break the track in two parts so you can not break it in the middle .	[]	[INSTRUCT_B(ADD(9, 2)), INSTRUCT_A(REMOVE(8, 9))]	[]
8	1	12	223	622.395	623.817	B	says	can i break this one ?	[]	[INSTRUCT_B(ADD(9, 2)), INSTRUCT_A(REMOVE(8, 9))]	[]
8	1	12	-1	623.554	623.554	B	removes	Zurich-Davos (2-9)	[]	[INSTRUCT_B(ADD(9, 2))]	[DO_B(REMOVE(2, 9)), MISMATCH_B(INSTRUCT_A(REMOVE(8, 9)))]
8	1	13	224	623.568	624.156	I	says	yeah .	[]	[]	[]
8	1	13	225	625.418	628.921	B	says	okay , now , mount zurich to mount gallen .	[ADD(2, 8)]	[INSTRUCT_B(ADD(2, 8))]	[INSTRUCT_B(ADD(2, 8))]
8	1	13	226	629.561	630.676	B	says	gallen do that one .	[ADD(8, None)]	[INSTRUCT_B(ADD(2, 8)), INSTRUCT_B(ADD(8, None))]	[INSTRUCT_B(ADD(8, None))]
8	1	13	227	631.305	634.244	A	says	what about mount gallen to mount davos ?	[ADD(8, 9)]	[INSTRUCT_B(ADD(2, 8)), INSTRUCT_B(ADD(8, None)), INSTRUCT_A(ADD(8, 9))]	[INSTRUCT_A(ADD(8, 9))]
8	1	13	-1	632.151	632.151	A	adds	Zurich-Gallen (2-8)	[]	[]	[DO_A(ADD(2, 8)), MATCH_A(INSTRUCT_B(ADD(8, None)))]
8	1	13	228	633.343	634.351	B	says	yes do that .	[]	[]	[]
8	1	13	229	634.611	636.093	B	says	i just had to erase .	[]	[]	[]
8	1	13	230	636.234	637.100	A	says	okay yeah .	[]	[]	[]
8	1	13	-1	636.477	636.477	A	adds	Gallen-Davos (8-9)	[]	[]	[DO_A(ADD(8, 9)), NONMATCH_A(DO_A(ADD(8, 9)))]
8	1	14	231	637.195	638.190	A	says	now , it's your turn .	[]	[]	[]
8	1	14	232	637.693	638.155	B	says	you did it ?	[]	[]	[]
8	1	14	233	638.345	638.878	B	says	okay .	[]	[]	[]
8	1	14	234	639.340	643.347	B	says	now , i'm doing mount davos to mount zermatt , okay ?	[ADD(9, 4)]	[INSTRUCT_B(ADD(9, 4))]	[INSTRUCT_B(ADD(9, 4))]
8	1	14	235	643.500	644.686	A	says	okay .	[]	[INSTRUCT_B(ADD(9, 4))]	[]
8	1	14	236	645.350	645.990	B	says	yes or no ?	[]	[INSTRUCT_B(ADD(9, 4))]	[]
8	1	14	237	646.014	646.405	A	says	yeah .	[]	[INSTRUCT_B(ADD(9, 4))]	[]
8	1	14	238	646.689	647.804	B	says	okay , oh wait no .	[]	[INSTRUCT_B(ADD(9, 4))]	[]
8	1	14	-1	648.195	648.195	B	adds	Zermatt-Davos (4-9)	[]	[INSTRUCT_B(ADD(9, 4))]	[DO_B(ADD(4, 9)), NONMATCH_B(DO_B(ADD(4, 9)))]
8	1	14	239	648.527	649.084	B	says	done .	[]	[INSTRUCT_B(ADD(9, 4))]	[]
8	1	14	240	649.537	651.860	B	says	now we've got all those square there , now what we do ?	[]	[INSTRUCT_B(ADD(9, 4))]	[]
8	1	14	241	654.113	656.285	B	says	oh no , now what i do um .	[]	[INSTRUCT_B(ADD(9, 4))]	[]
8	1	14	242	655.985	657.858	A	says	you can do um do	[]	[INSTRUCT_B(ADD(9, 4))]	[]
8	1	14	243	658.320	661.829	A	says	mount zermatt to mount montreux .	[ADD(4, 6)]	[INSTRUCT_B(ADD(9, 4)), INSTRUCT_A(ADD(4, 6))]	[INSTRUCT_A(ADD(4, 6))]
8	1	14	244	660.845	661.248	B	says	yep .	[]	[INSTRUCT_B(ADD(9, 4)), INSTRUCT_A(ADD(4, 6))]	[]
8	1	14	245	661.829	662.908	A	says	i don't know how to say that .	[]	[INSTRUCT_B(ADD(9, 4)), INSTRUCT_A(ADD(4, 6))]	[]
8	1	14	246	661.853	662.505	B	says	done .	[]	[INSTRUCT_B(ADD(9, 4)), INSTRUCT_A(ADD(4, 6))]	[]
8	1	14	-1	661.942	661.942	B	adds	Zermatt-Montreux (4-6)	[]	[INSTRUCT_B(ADD(9, 4))]	[DO_B(ADD(4, 6)), MATCH_B(INSTRUCT_A(ADD(4, 6)))]
8	1	15	247	662.884	663.619	B	says	your turn .	[]	[]	[]
8	1	15	248	663.624	664.448	I	says	montreux .	[]	[]	[]
8	1	15	249	664.601	665.517	A	says	montreux .	[ADD(6, None)]	[INSTRUCT_A(ADD(6, None))]	[INSTRUCT_A(ADD(6, None))]
8	1	15	250	665.469	667.224	B	says	okay i look i think looks good .	[]	[INSTRUCT_A(ADD(6, None))]	[]
8	1	15	251	667.402	668.089	A	says	um	[]	[INSTRUCT_A(ADD(6, None))]	[]
8	1	15	252	667.473	668.978	B	says	now do mount	[]	[INSTRUCT_A(ADD(6, None))]	[]
8	1	15	253	669.453	670.757	B	says	neuchatel	[ADD(7, None)]	[INSTRUCT_A(ADD(6, None)), INSTRUCT_B(ADD(7, None))]	[INSTRUCT_B(ADD(7, None))]
8	1	15	254	671.029	671.812	B	says	neuchatel .	[ADD(7, None)]	[INSTRUCT_A(ADD(6, None)), INSTRUCT_B(ADD(7, None)), INSTRUCT_B(ADD(7, None))]	[INSTRUCT_B(ADD(7, None))]
8	1	15	255	671.958	674.199	A	says	i can't go there because there is no track .	[]	[INSTRUCT_A(ADD(6, None)), INSTRUCT_B(ADD(7, None)), INSTRUCT_B(ADD(7, None))]	[]
8	1	15	256	674.673	676.143	A	says	so i can do mount	[]	[INSTRUCT_A(ADD(6, None)), INSTRUCT_B(ADD(7, None)), INSTRUCT_B(ADD(7, None))]	[]
8	1	15	257	676.553	679.996	A	says	montreux to mount neuchatel .	[ADD(6, 7)]	[INSTRUCT_A(ADD(6, None)), INSTRUCT_B(ADD(7, None)), INSTRUCT_B(ADD(7, None)), INSTRUCT_A(ADD(6, 7))]	[INSTRUCT_A(ADD(6, 7))]
8	1	15	258	679.391	679.925	B	says	yeah .	[]	[INSTRUCT_A(ADD(6, None)), INSTRUCT_B(ADD(7, None)), INSTRUCT_B(ADD(7, None)), INSTRUCT_A(ADD(6, 7))]	[]
8	1	15	-1	681.417	681.417	A	adds	Montreux-Neuchatel (6-7)	[]	[]	[DO_A(ADD(6, 7)), MATCH_A(INSTRUCT_B(ADD(7, None)))]
8	1	15	259	682.191	683.365	A	says	and what else ?	[]	[]	[]
8	1	15	260	683.365	684.835	B	says	and then what about	[]	[]	[]
8	1	15	261	684.171	686.993	A	says	to mount basel and then you can do to mount	[ADD(0, None)]	[INSTRUCT_A(ADD(0, None))]	[INSTRUCT_A(ADD(0, None))]
8	1	15	262	686.898	687.336	B	says	yeah .	[]	[INSTRUCT_A(ADD(0, None))]	[]
8	1	15	263	687.218	688.285	A	says	bern and then	[ADD(3, None)]	[INSTRUCT_A(ADD(0, None)), INSTRUCT_A(ADD(3, None))]	[INSTRUCT_A(ADD(3, None))]
8	1	15	264	687.621	688.422	B	says	okay do it .	[]	[INSTRUCT_A(ADD(0, None)), INSTRUCT_A(ADD(3, None))]	[]
8	1	15	265	688.356	694.009	A	says	to mount yeah and then now , do it from mount basel to mount bern .	[ADD(0, 3)]	[INSTRUCT_A(ADD(0, None)), INSTRUCT_A(ADD(3, None)), INSTRUCT_A(ADD(0, 3))]	[INSTRUCT_A(ADD(0, 3))]
8	1	15	-1	690.289	690.289	A	adds	Basel-Neuchatel (0-7)	[]	[INSTRUCT_A(ADD(0, None)), INSTRUCT_A(ADD(3, None)), INSTRUCT_A(ADD(0, 3))]	[DO_A(ADD(0, 7)), NONMATCH_A(DO_A(ADD(0, 7)))]
8	1	16	266	694.564	697.800	A	says	and then from mount bern to mount interlaken .	[ADD(3, 5)]	[INSTRUCT_A(ADD(3, 5))]	[INSTRUCT_A(ADD(3, 5))]
8	1	16	267	698.025	700.136	A	says	we have all of them connected .	[]	[INSTRUCT_A(ADD(3, 5))]	[]
8	1	16	268	700.112	700.776	B	says	here .	[]	[INSTRUCT_A(ADD(3, 5))]	[]
8	1	16	-1	700.127	700.127	B	adds	Basel-Bern (0-3)	[]	[]	[DO_B(ADD(0, 3)), MISMATCH_B(INSTRUCT_A(ADD(3, 5)))]
8	1	16	269	701.100	702.001	A	says	and then	[]	[]	[]
8	1	16	270	701.373	701.989	B	says	here .	[]	[]	[]
8	1	16	-1	701.686	701.686	B	adds	Interlaken-Bern (5-3)	[]	[]	[DO_B(ADD(5, 3)), NONMATCH_B(DO_B(ADD(5, 3)))]
8	1	17	271	702.392	703.424	A	says	yeah and now	[]	[]	[]
8	1	17	272	702.819	703.578	B	says	your turn .	[]	[]	[]
8	1	17	273	704.265	705.403	A	says	bern to	[ADD(3, None)]	[INSTRUCT_A(ADD(3, None))]	[INSTRUCT_A(ADD(3, None))]
8	1	17	274	705.356	705.937	B	says	your turn .	[]	[INSTRUCT_A(ADD(3, None))]	[]
8	1	17	275	706.186	708.059	A	says	oh no we already have ten .	[]	[INSTRUCT_A(ADD(3, None))]	[]
8	1	17	276	718.393	719.632	A	says	oh yeah we are done .	[]	[INSTRUCT_A(ADD(3, None))]	[]
8	1	17	277	719.715	720.284	B	says	no !	[]	[INSTRUCT_A(ADD(3, None))]	[]
8	1	17	278	719.751	722.157	A	says	because look , this connects so this	[]	[INSTRUCT_A(ADD(3, None))]	[]
8	1	17	279	721.209	723.888	B	says	no because we need mount bern to mount luzern	[ADD(3, 1)]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1))]	[INSTRUCT_B(ADD(3, 1))]
8	1	17	280	725.675	726.434	A	says	what ?	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1))]	[]
8	1	17	281	725.830	726.375	B	says	yeah .	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1))]	[]
8	1	17	282	726.932	728.390	A	says	where is mount luzern ?	[ADD(1, None)]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None))]	[INSTRUCT_A(ADD(1, None))]
8	1	17	283	726.956	728.200	B	says	we need mount bern .	[ADD(3, None)]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None))]	[INSTRUCT_B(ADD(3, None))]
8	1	17	284	728.438	730.085	B	says	to mount luzern the the one in	[ADD(1, None)]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None))]	[INSTRUCT_B(ADD(1, None))]
8	1	17	285	730.405	732.468	B	says	mount luzern mount z .	[ADD(1, None)]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None))]	[INSTRUCT_B(ADD(1, None))]
8	1	17	286	732.953	736.758	B	says	the one with the l u z e r n .	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None))]	[]
8	1	17	287	735.851	739.689	A	says	no because you know why , because it comes from her and then it goes here .	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None))]	[]
8	1	17	288	740.353	741.052	A	says	wait .	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None))]	[]
8	1	17	289	740.365	742.463	B	says	wait do we have to connect this one , yeah .	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None))]	[]
8	1	17	290	743.962	747.519	A	says	no because look it comes from down right here from mount	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None))]	[]
8	1	17	291	745.717	746.310	B	says	why ?	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None))]	[]
8	1	17	292	746.726	750.111	I	says	you can submit your solution and see if how .	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None))]	[]
8	1	17	293	750.341	752.265	A	says	let's go no look can i show you why ?	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None))]	[]
8	1	17	294	751.515	752.060	B	says	1 .	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None))]	[]
8	1	17	295	752.570	753.020	B	says	why ?	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None))]	[]
8	1	17	296	752.581	753.091	A	says	so	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None))]	[]
8	1	17	297	753.601	755.628	A	says	from mount zermatt it goes up	[ADD(4, None)]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_A(ADD(4, None))]	[INSTRUCT_A(ADD(4, None))]
8	1	17	298	753.652	755.644	I	says	can you .	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_A(ADD(4, None))]	[]
8	1	17	299	755.996	758.137	A	says	up , side , down .	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_A(ADD(4, None))]	[]
8	1	17	300	757.046	758.279	B	says	oh yeah okay ready .	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_A(ADD(4, None))]	[]
8	1	17	301	758.421	759.500	A	says	set , go .	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_A(ADD(4, None))]	[]
8	1	17	302	758.563	759.547	B	says	set , go .	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_A(ADD(4, None))]	[]
8	1	17	-1	759.243	759.243	B	presses	submit (enabled)	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_A(ADD(4, None))]	[]
8	1	17	-1	759.790	759.790	A	presses	submit (enabled)	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_A(ADD(4, None))]	[]
8	1	17	-1	759.854	759.854	T	submits	cost=28 (opt_cost=22)	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_A(ADD(4, None))]	[]
8	1	17	-1	760.137	760.137	R	shows	talking emotion	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_A(ADD(4, None))]	[]
8	1	17	-1	760.138	760.138	R	shows	up_left gesture	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_A(ADD(4, None))]	[]
8	1	17	-1	760.235	760.235	R	says	you are away from the minimum by 6 francs. let's try again.	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_A(ADD(4, None))]	[]
8	1	17	303	766.436	767.846	A	says	6 francs ?	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_A(ADD(4, None))]	[]
8	1	17	-1	766.605	766.605	R	shows	talking emotion	[]	[INSTRUCT_A(ADD(3, None)), INSTRUCT_B(ADD(3, 1)), INSTRUCT_A(ADD(1, None)), INSTRUCT_B(ADD(3, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_B(ADD(1, None)), INSTRUCT_A(ADD(4, None))]	[]
