Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
19	4	1	then	108	566	1	A	13, 108, 117, 161, 270, 271, 299, 307, 325, 359, 364, 432, 454, 483, 504, 507, 508, 533, 578
19	16	1	uh	58	534	2	A	39, 56, 58, 62, 66, 68, 92, 117, 219, 257, 338, 340, 341, 348, 350, 375, 379, 395, 572
18	6	1	did	54	581	2	A	13, 39, 40, 54, 85, 95, 117, 146, 150, 154, 281, 313, 443, 490, 528, 550, 564, 593
18	1	1	let	100	516	5	A	25, 31, 66, 68, 99, 100, 124, 125, 133, 179, 206, 207, 350, 402, 418, 509, 511, 540
18	18	1	like	21	579	1	B	15, 21, 35, 37, 44, 92, 108, 164, 192, 197, 210, 226, 288, 445, 456, 469, 555, 593
17	9	1	not	5	290	1	B	3, 5, 11, 25, 29, 31, 44, 48, 53, 70, 116, 153, 175, 214, 284, 291, 292
16	2	1	are	92	537	1	A	57, 58, 92, 101, 152, 153, 298, 433, 435, 436, 460, 464, 545, 575, 577, 593
16	8	1	erase	160	193	2	A	99, 145, 160, 166, 169, 171, 191, 194, 200, 223, 238, 240, 252, 255, 290, 291
15	2	1	connect	36	458	1	B	33, 34, 36, 38, 39, 41, 75, 76, 101, 134, 157, 159, 281, 411, 490
15	5	1	know	128	392	3	B	83, 96, 106, 128, 189, 199, 203, 211, 237, 339, 340, 350, 443, 467, 474
14	7	1	a	70	373	1	A	51, 70, 75, 86, 87, 101, 105, 110, 137, 142, 178, 403, 408, 423
14	4	1	neuchatel	347	326	1	B	266, 346, 347, 387, 391, 480, 481, 482, 497, 567, 569, 570, 590, 591
14	2	1	press	446	440	6	B	165, 197, 201, 307, 333, 370, 446, 466, 489, 549, 572, 581, 602, 604
14	1	1	saint	508	329	8	A	258, 261, 287, 316, 364, 366, 395, 492, 508, 535, 556, 557, 585, 586
14	12	1	wait	78	511	1	A	51, 78, 79, 243, 297, 302, 344, 365, 388, 490, 543, 545, 557, 561
14	8	1	yes	357	385	7	B	164, 183, 243, 244, 279, 280, 335, 357, 360, 401, 422, 478, 479, 548
13	1	1	montreux	325	302	2	A	267, 324, 325, 379, 380, 407, 408, 427, 476, 496, 532, 567, 568
12	3	1	alright	167	510	1	B	71, 72, 149, 167, 233, 264, 283, 315, 358, 402, 405, 580
12	2	1	money	153	426	3	A	105, 110, 152, 153, 155, 156, 252, 255, 293, 295, 298, 530
12	5	1	one	69	387	3	A	23, 57, 68, 69, 84, 96, 164, 219, 227, 299, 367, 409
11	11	1	all	41	69	1	B	33, 41, 76, 81, 83, 85, 87, 92, 94, 95, 101
11	4	1	how	166	458	4	B	3, 42, 134, 139, 166, 169, 191, 194, 211, 443, 460
11	7	1	why	58	544	1	A	21, 22, 58, 128, 150, 157, 187, 281, 337, 490, 564
10	8	1	because	596	553	9	B	44, 151, 164, 180, 192, 199, 470, 555, 582, 596
10	6	1	me	53	565	1	A	21, 53, 66, 256, 292, 350, 494, 509, 511, 585
10	5	1	my	74	372	3	B	15, 19, 44, 74, 93, 157, 224, 295, 334, 386
9	9	1	but	169	485	4	B	53, 58, 129, 134, 169, 397, 428, 465, 537
9	4	1	can	116	306	2	A	2, 49, 116, 164, 192, 211, 299, 301, 307
9	5	1	connected	89	523	5	B	60, 65, 67, 81, 83, 89, 92, 94, 582
9	3	1	everything	60	397	1	A	34, 38, 39, 60, 65, 67, 89, 99, 430
9	3	1	two	69	511	3	A	45, 47, 68, 69, 75, 80, 96, 411, 555
8	8	1	here	114	338	1	A	80, 114, 218, 224, 228, 241, 247, 417
8	2	1	see	11	186	1	A	2, 11, 13, 14, 66, 175, 186, 187
8	8	1	there	113	522	3	B	16, 87, 96, 113, 118, 148, 164, 537
7	7	1	at	454	145	3	A	433, 435, 436, 454, 460, 575, 577
7	7	1	or	198	446	3	B	11, 75, 90, 198, 231, 284, 456
7	3	1	turn	57	365	1	B	22, 57, 73, 74, 112, 224, 386
7	1	1	understand	106	104	1	B	3, 5, 6, 38, 50, 104, 106
6	6	1	francs	605	186	5	A	420, 435, 436, 532, 542, 605
6	6	1	something	173	451	1	B	90, 173, 200, 290, 456, 540
5	2	1	again	295	481	2	B	125, 294, 295, 593, 605
5	3	1	big	531	504	1	B	35, 36, 531, 534, 538
5	1	1	doing	593	593	1	A	1, 11, 57, 58, 593
5	5	1	little	353	118	2	A	351, 352, 353, 425, 468
5	3	1	look	344	478	3	A	54, 163, 253, 344, 531
5	2	1	of	105	337	1	B	75, 101, 105, 110, 411
5	2	1	submit	24	143	1	A	23, 24, 25, 26, 165
5	1	1	time	288	314	1	B	181, 288, 377, 430, 494
5	2	1	want	23	288	1	B	18, 23, 171, 240, 305
4	2	1	contour	432	468	2	A	126, 404, 432, 593
4	4	1	got	409	375	1	B	181, 409, 528, 555
4	4	1	last	447	161	2	A	288, 367, 447, 448
4	2	1	on	196	153	1	A	47, 117, 196, 199
4	1	1	small	428	130	1	A	340, 428, 464, 469
4	2	1	um	323	402	1	B	27, 126, 323, 428
3	3	1	've	409	67	1	B	403, 409, 469
3	3	1	answer	447	7	1	A	442, 447, 448
3	1	1	buildings	596	562	1	B	35, 36, 596
3	3	1	for	97	70	1	B	53, 97, 122
3	1	1	found	529	181	2	B	349, 408, 529
3	3	1	in	130	62	1	B	75, 130, 136
3	3	1	really	534	373	2	B	162, 414, 534
3	1	1	them	101	337	1	B	75, 101, 411
3	3	1	things	428	263	2	A	166, 169, 428
3	1	1	three	96	29	2	A	68, 80, 96
3	1	1	way	219	147	1	B	75, 219, 221
3	3	1	whatever	307	303	1	A	305, 307, 607
3	1	1	your	97	40	1	B	73, 97, 112
2	2	1	franc	531	351	1	B	181, 531
2	2	1	heck	86	9	1	B	78, 86
2	2	1	less	530	350	1	B	181, 530
2	2	1	line	137	2	1	A	136, 137
2	2	1	more	530	354	1	B	177, 530
2	2	1	much	460	64	1	B	397, 460
2	2	1	they	92	8	1	A	85, 92
2	2	1	try	250	126	1	B	125, 250

